ID,0,1,2,3,4,5,6,7,8,9,10
2018-01559,0,1,1,0,0,0,0,0,0,0,0
2018-03739,1,0,1,0,1,0,0,1,0,0,0
2018-00385,1,1,1,0,0,0,0,1,1,0,0
2018-03001,1,1,1,0,0,0,0,1,0,0,0
2018-01988,1,0,1,0,1,0,0,0,1,0,0
2018-03463,1,1,1,0,0,0,0,0,0,0,0
2018-04315,1,1,1,0,1,0,1,0,0,0,0
2018-01426,0,0,0,0,0,0,1,0,0,0,0
2018-03332,0,1,0,1,1,0,1,0,0,0,0
2018-01938,1,1,1,0,0,0,0,0,1,0,1
2018-00264,0,1,0,0,1,0,0,1,0,0,0
2018-00840,0,0,0,1,0,0,1,0,0,0,0
2018-01343,0,1,0,0,1,0,1,0,1,0,0
2018-03467,0,0,0,1,1,0,1,0,0,0,0
2018-01203,0,0,0,0,0,0,1,0,0,0,0
2018-02225,0,1,0,0,0,0,1,0,0,0,0
2018-00375,0,1,0,0,1,0,1,0,1,0,0
2018-03838,0,0,0,1,0,0,1,0,0,1,0
2018-01077,0,0,0,0,0,0,0,0,0,1,0
2018-01569,0,0,1,0,0,1,1,0,1,0,1
2018-02679,1,1,0,1,0,1,1,1,1,0,1
2018-01476,1,1,0,0,0,0,0,0,0,0,0
2018-03943,1,1,1,0,0,0,0,0,0,0,0
2018-04100,1,1,0,0,0,0,0,0,1,0,1
2018-01586,1,1,0,0,1,1,1,0,0,0,0
2018-02990,0,0,0,0,0,0,0,0,1,0,0
2018-00590,1,0,1,0,0,0,0,0,1,0,0
2018-01227,0,1,0,1,1,1,1,0,0,0,0
2018-03682,1,1,1,0,0,0,0,0,1,0,0
2018-03354,1,0,1,0,1,0,0,1,0,0,0
2018-02069,1,1,1,0,1,0,0,0,1,0,0
2018-02758,1,1,1,0,0,0,0,0,1,0,0
2018-02674,0,1,1,0,1,0,1,0,0,0,0
2018-03424,1,1,0,0,0,0,0,0,1,0,0
2018-02888,0,1,1,0,0,0,0,0,0,0,0
2018-01891,0,1,1,0,1,0,1,0,0,0,0
2018-04132,1,0,1,0,1,0,1,0,0,0,0
2018-02625,0,0,1,0,0,0,0,0,1,0,0
2018-01873,1,0,0,0,0,1,1,0,0,0,0
2018-03748,0,1,1,0,0,0,1,0,0,0,0
2018-00390,0,0,0,1,0,0,0,0,1,0,0
2018-00486,0,0,0,0,0,0,1,0,1,0,1
2018-01361,1,0,1,0,0,0,0,0,0,0,0
2018-01149,1,0,1,0,0,0,1,0,1,0,0
2018-01459,0,1,0,1,0,1,0,1,1,0,0
2018-00647,1,0,0,0,0,0,0,1,1,0,0
2018-03390,1,1,0,0,0,0,0,0,0,0,0
2018-01905,0,1,1,0,0,0,0,0,0,0,0
2018-01090,0,1,0,0,0,0,1,0,0,0,0
2018-03437,0,1,0,0,0,0,1,0,1,0,0
2018-03213,1,0,0,0,0,0,0,0,1,0,0
2018-00272,0,0,1,0,0,0,0,0,1,0,0
2018-02363,1,0,0,1,0,0,1,0,1,0,0
2018-03815,0,1,0,0,0,0,1,0,0,0,0
2018-03195,0,0,1,0,1,0,0,0,0,0,0
2018-03940,0,0,0,0,1,0,1,0,0,0,0
2018-02582,0,0,1,0,1,0,0,0,1,0,0
2018-00425,0,1,1,0,1,0,0,0,0,0,0
2018-02433,0,1,1,0,0,0,0,0,1,0,0
2018-04040,1,0,1,0,0,0,0,1,1,0,0
2018-00240,1,0,1,0,1,0,0,0,1,0,0
2018-04057,0,0,0,0,1,1,1,0,0,0,0
2018-02756,1,1,1,0,1,0,0,0,0,0,0
2018-01925,1,0,0,0,1,1,1,0,0,0,0
2018-00445,0,0,1,0,1,0,0,0,0,0,0
2018-00461,1,1,1,0,0,0,0,1,1,0,0
2018-00335,0,1,1,0,1,0,1,0,0,0,0
2018-02851,1,0,0,0,1,1,1,0,0,0,0
2018-03167,1,1,1,0,0,0,0,0,0,0,0
2018-03524,0,1,0,0,1,0,1,0,0,0,0
2018-00626,1,1,0,0,0,0,1,0,0,0,0
2018-03204,0,0,0,0,0,1,0,1,1,0,0
2018-00392,0,0,0,0,0,0,0,0,1,0,0
2018-00812,1,0,0,0,1,1,1,0,0,0,0
2018-02183,0,1,0,1,1,0,0,0,0,0,0
2018-02476,1,1,1,0,0,0,0,0,1,0,0
2018-02541,1,1,1,0,0,0,0,0,1,0,0
2018-00963,1,0,0,0,1,0,1,0,0,0,0
2018-00838,0,0,0,0,1,0,1,0,0,0,0
2018-02629,0,1,0,0,1,1,1,0,0,0,0
2018-01366,1,1,1,0,1,0,0,0,0,0,0
2018-01753,0,0,0,0,1,1,1,0,0,0,0
2018-01251,1,1,1,1,1,0,0,0,1,0,0
2018-00768,1,0,1,0,0,0,0,1,1,0,0
2018-04006,1,0,1,0,0,0,0,0,0,0,0
2018-04336,1,0,1,0,1,0,0,0,1,0,0
2018-03885,0,0,0,0,1,1,0,0,0,0,0
2018-02867,0,1,1,0,0,0,0,0,1,0,0
2018-02989,1,1,0,0,1,0,1,0,1,1,0
2018-01750,0,0,0,0,0,0,0,0,1,0,0
2018-00675,1,1,0,0,1,0,1,0,0,0,0
2018-03771,0,0,0,0,0,0,0,1,0,0,0
2018-02226,1,1,1,0,0,0,0,0,1,0,0
2018-03778,0,1,0,1,1,0,0,1,1,1,0
2018-03777,1,0,0,1,1,0,1,0,0,0,0
2018-01851,1,0,0,0,1,0,0,0,0,0,0
2018-02370,0,0,0,1,1,0,0,0,0,0,0
2018-00283,0,0,0,1,1,0,1,0,0,0,0
2018-02640,1,0,0,0,1,0,0,0,0,0,0
2018-02429,0,0,1,0,0,0,1,1,1,0,0
2018-01099,0,0,0,0,1,0,1,0,0,0,0
2018-03886,1,0,1,0,0,0,0,0,1,0,0
2018-03183,0,0,0,1,1,1,1,0,0,0,0
2018-03522,1,0,0,0,1,0,0,0,1,0,0
2018-03403,1,1,0,0,0,0,0,0,1,0,0
2018-03000,0,0,1,0,0,0,0,0,1,0,0
2018-01173,0,1,0,0,1,0,1,0,0,0,0
2018-01992,0,0,0,0,1,1,1,0,0,0,0
2018-00201,0,0,0,1,1,1,1,0,0,0,0
2018-03225,1,1,0,0,0,0,0,0,1,0,0
2018-02728,1,1,1,0,0,0,0,0,0,0,0
2018-00273,0,1,0,0,1,1,0,0,0,0,0
2018-02276,1,0,1,1,1,0,0,0,0,0,0
2018-00833,0,1,0,0,1,0,1,1,0,0,0
2018-02005,0,1,0,0,1,0,1,0,0,0,0
2018-01900,1,0,1,0,0,0,0,1,1,0,0
2018-01541,0,1,0,0,1,0,1,0,1,0,0
2018-00261,1,0,0,0,1,0,0,0,0,0,0
2018-02636,1,0,1,0,0,0,0,0,1,0,0
2018-00270,0,0,0,0,1,0,0,1,0,0,0
2018-00437,0,0,0,0,1,0,0,0,0,0,0
2018-04071,1,0,0,1,0,0,1,0,0,0,1
2018-02162,0,0,0,0,1,0,0,1,1,0,0
2018-01542,0,1,0,0,1,0,1,0,0,0,0
2018-00177,1,0,1,0,0,0,0,0,1,0,0
2018-00107,1,0,1,0,0,0,0,1,0,1,0
2018-03714,0,0,0,0,1,1,1,0,1,0,0
2018-02000,1,0,0,0,1,0,0,0,0,0,0
2018-03266,0,0,0,1,1,0,0,1,0,0,0
2018-03816,0,1,0,1,1,1,1,0,0,0,0
2018-02259,1,0,0,0,0,0,0,0,0,0,0
2018-03057,1,0,0,0,1,0,1,1,0,1,0
2018-00078,0,0,0,0,0,0,1,0,0,0,0
2018-03741,0,0,1,0,0,0,0,0,1,0,0
2018-04124,1,0,0,1,0,0,0,0,0,0,0
2018-01861,1,1,1,1,0,0,0,0,0,0,0
2018-00016,0,0,0,1,1,1,1,0,0,0,0
2018-04059,0,1,0,0,1,0,1,0,0,0,0
2018-00361,0,0,0,1,1,1,0,0,1,0,0
2018-02966,1,1,1,0,0,0,1,0,0,0,0
2018-03482,0,0,1,0,0,0,0,0,0,0,0
2018-03766,0,0,1,0,0,0,0,1,0,0,0
2018-03945,0,1,0,0,1,0,1,0,0,0,0
2018-00843,0,1,1,0,1,0,1,1,0,1,0
2018-02589,0,0,0,0,1,0,0,0,0,0,0
2018-01613,1,1,1,0,1,0,0,0,0,0,0
2018-02156,0,0,0,0,1,0,0,0,0,0,0
2018-00810,1,1,1,0,0,0,0,0,0,0,0
2018-01082,1,1,1,0,0,0,0,0,1,0,0
2018-01756,1,1,0,0,1,0,1,0,0,0,0
2018-02623,1,0,1,0,0,0,0,0,1,0,0
2018-00986,0,0,0,0,1,0,1,0,0,0,0
2018-02568,0,0,0,0,1,0,0,0,0,0,0
2018-00112,0,0,1,0,0,1,1,0,0,0,1
2018-01545,0,0,0,1,1,0,0,0,0,0,0
2018-00623,1,0,1,0,1,0,1,0,0,0,0
2018-02776,1,0,0,0,0,0,0,1,1,0,0
2018-02757,1,0,0,0,0,0,0,0,0,0,0
2018-03387,0,0,1,0,1,0,0,1,1,0,0
2018-01570,0,0,0,0,0,0,1,0,0,0,0
2018-04108,1,1,1,1,0,0,0,0,0,0,0
2018-03121,0,1,1,1,0,0,0,0,0,0,0
2018-01441,1,1,0,0,0,0,0,1,0,0,0
2018-00219,0,0,0,1,1,0,1,0,0,0,0
2018-03456,0,0,1,0,1,0,1,0,1,0,0
2018-02481,1,1,0,0,0,0,0,0,1,0,0
2018-04202,0,1,1,0,0,0,0,0,1,0,0
2018-03069,0,0,0,0,1,1,1,0,1,0,0
2018-03166,1,0,1,0,0,0,0,0,0,0,0
2018-00143,0,1,0,0,1,1,1,0,0,0,0
2018-03993,0,0,0,1,1,0,1,1,0,0,0
2018-01286,1,1,1,0,0,0,0,1,1,0,0
2018-02596,1,1,1,0,1,0,0,0,1,0,0
2018-03930,0,1,0,0,1,1,1,0,0,1,0
2018-00491,1,1,0,1,0,0,1,0,0,0,1
2018-02483,0,0,0,0,1,1,1,0,0,0,0
2018-02994,0,0,0,0,1,1,1,0,0,0,0
2018-02650,1,0,0,0,0,0,0,0,1,0,0
2018-00446,1,0,0,0,1,0,1,0,0,0,0
2018-02188,0,1,0,0,0,0,0,0,0,0,0
2018-02426,0,1,0,0,1,0,1,0,0,0,0
2018-03270,0,0,0,1,0,0,1,0,1,0,0
2018-04215,1,1,1,0,1,1,0,0,1,0,0
2018-04368,0,1,1,0,1,0,0,0,1,0,0
2018-01710,1,0,1,0,1,0,0,0,1,0,0
2018-03513,0,1,0,1,1,0,1,0,0,0,0
2018-00658,0,0,1,0,1,0,0,1,0,0,0
2018-00587,0,0,0,0,1,0,1,0,0,0,0
2018-01748,1,0,0,0,1,0,1,0,0,1,0
2018-03473,0,0,0,0,1,0,1,0,0,0,0
2018-03200,0,0,0,1,1,0,1,0,1,0,0
2018-00289,1,1,1,0,1,0,1,1,0,0,0
2018-00539,0,0,0,0,1,0,0,0,0,0,0
2018-04249,0,0,0,0,0,0,1,0,0,0,0
2018-03865,0,0,0,0,1,0,1,0,0,0,0
2018-04203,1,0,0,0,1,0,1,0,0,0,0
2018-00343,1,0,0,0,1,0,1,1,1,0,0
2018-01127,0,1,0,0,1,0,1,0,1,0,0
2018-02081,0,1,1,1,0,0,0,0,0,0,0
2018-03878,1,0,1,0,0,0,0,0,1,0,0
